band,OV,BRCA,ER,TRI
10_p11.1,-0.0402684563758389,-0.0450643776824034,-0.0357142857142857,-0.103448275862069
10_p11.21,-0.0468227424749164,-0.0133587786259542,-0.00288184438040346,-0.0757575757575758
10_p11.22,-0.0536465638148668,-0.0150659133709981,-0.00285714285714286,-0.0882352941176471
10_p11.23,-0.0407433380084152,-0.0150659133709981,-0.00285714285714286,-0.0882352941176471
10_p12.1,-0.0403769481696267,-0.0169491525423729,-0.00285714285714286,-0.102941176470588
10_p12.2,-0.0355857103295486,-3.19795330988026e-05,0.0304680038204393,-0.102941176470588
10_p12.31,-0.041955137081141,0.017469526106512,0.0304597701149425,-0.102941176470588
10_p12.32,-0.0310855718637497,0.0150303805564439,0.0304680038204393,-0.117647058823529
10_p12.33,-0.037454998615342,0.0150659133709982,0.0304761904761904,-0.117647058823529
10_p13,-0.0427769985974755,0.0253090435914119,0.0276190476190476,-0.0915032679738564
10_p14,-0.0669330669330669,0.0425004888859918,0.0276026743075453,-0.014705882352942
10_p15.1,-0.0846718360564941,0.0413815158298689,0.0304761904761904,-0.035947712418301
10_p15.2,-0.072463768115942,0.0489642184557439,0.0304761904761904,0.008169934640523
10_p15.3,-0.065563555801717,0.050751155624037,0.0304514889529298,0.008169934640523
10_q11.1,-0.0402684563758389,-0.0166966157532195,0.0294880868129276,-0.0983606557377049
10_q11.21,-0.0277206664303438,-0.0019047619047619,0,-0.0149253731343284
10_q11.22,-0.0096249115357396,-0.00189753320683112,0,-0.0149253731343284
10_q11.23,-0.032258064516129,-0.00189753320683112,0,-0.0149253731343284
10_q21.1,-0.0318471337579618,-0.00568181818181818,0,-0.0441176470588235
10_q21.2,-0.0384615384615385,-0.0132325141776938,-0.00862068965517241,-0.0588235294117647
10_q21.3,-0.0273469952921628,-0.00571428571428571,0,-0.0441176470588235
10_q22.1,-0.0111111111111111,-0.00945179584120983,-0.00573065902578797,-0.0147058823529412
10_q22.2,-0.0057426444523218,0.0018832391713748,-0.0142857142857143,-0.0147058823529412
10_q22.3,-0.0012052463665366,-0.003502080443828,-0.0174927113702624,-0.046875
10_q23.1,-0.0146953405017921,0.0058345352038809,-0.0114942528735632,-0.0151515151515152
10_q23.2,-0.0040673211781206,0.0169491525423729,0,0
10_q23.31,-0.003901895206243,0,0,0
10_q23.32,-0.0146081417889781,0,0,0
10_q23.33,-0.0209775685405705,-0.00188323917137476,0,-0.0147058823529412
10_q24.1,-0.0213884992987377,0,0,0
10_q24.2,-0.0211817168338908,0.0169491525423729,0,0
10_q24.31,-0.0144886960173584,-0.00191204588910134,-0.00289855072463768,0
10_q24.32,-0.025974025974026,0.0169491525423729,0,0
10_q24.33,-0.0258064516129032,0.0150623600895427,-0.00286532951289398,0
10_q25.1,-0.0146520146520146,-0.00378071833648393,-0.00573065902578797,0
10_q25.2,-0.0029137529137529,-0.00191204588910134,-0.00289855072463768,0
10_q25.3,-0.0037385765715868,-0.00188323917137476,-0.00285714285714286,0
10_q26.11,-0.0101080033231792,0,0,0
10_q26.12,-0.0164835164835165,0,0,0
10_q26.13,-0.0100358422939068,-0.00380228136882129,-0.0028735632183908,-0.0149253731343284
10_q26.2,-0.0057426444523218,-0.00189035916824197,0,-0.0147058823529412
10_q26.3,-0.0057426444523218,-0.00190839694656489,-0.00288184438040346,0
11_p11.11,-0.032258064516129,0.0266087428726582,0.0577645895153314,-0.0161290322580645
11_p11.12,-0.0320512820512821,-0.00190839694656489,-0.00289855072463768,0
11_p11.2,-0.032258064516129,-0.00571428571428571,-0.00578034682080925,-0.0149253731343284
11_p12,-0.0254777070063694,-0.00378071833648393,0,-0.0298507462686567
11_p13,-0.0324675324675325,-0.0038841807909604,-0.02,-0.0041459369817578
11_p14.1,-0.0382165605095541,-0.00378071833648393,-0.00285714285714286,-0.0151515151515152
11_p14.2,-0.0318471337579618,-0.00376647834274953,-0.00285714285714286,-0.0147058823529412
11_p14.3,-0.0318471337579618,-0.00189753320683112,-0.00288184438040346,0
11_p15.1,-0.025974025974026,-0.00190114068441065,-0.0028735632183908,0
11_p15.2,-0.0191082802547771,0,0,0
11_p15.3,-0.0193548387096774,-0.00378071833648393,-0.00286532951289398,0
11_p15.4,-0.0198675496688742,-0.00190114068441065,-0.00289017341040462,0
11_p15.5,-0.0152541111689858,-0.00191204588910134,-0.00289017341040462,0
11_q11,-0.032258064516129,0.0266087428726582,0.0577645895153314,-0.0161290322580645
11_q12.1,-0.0258064516129032,-0.00191204588910134,-0.00289017341040462,0
11_q12.2,-0.0215979672501412,-0.00378787878787879,-0.00288184438040346,0
11_q12.3,-0.0411764705882353,-0.00380952380952381,-0.00290697674418605,0
11_q13.1,-0.02997002997003,-0.00191204588910134,0,0
11_q13.2,-0.0355857103295486,-0.0522243713733075,-0.056047197640118,-0.0149253731343284
11_q13.3,-0.0355857103295486,-0.108533472940252,-0.119159335288368,-0.0298507462686567
11_q13.4,-0.0200228832951945,-0.0083426762514014,0.000692383778437201,0
11_q13.5,-0.0202160066463584,-0.0244252873563219,-0.0547550432276657,0.0555555555555556
11_q14.1,0.0067758328627894,-0.0196078431372549,-0.0238095238095238,0
11_q14.2,-0.0117056856187291,-0.00945179584120983,-0.00859598853868195,-0.0147058823529412
11_q14.3,-0.0073260073260073,-0.0132827324478178,-0.0144092219020173,-0.0298507462686567
11_q21,-0.0193393562958781,-0.00572519083969466,-0.00579710144927536,0
11_q22.1,-0.0186733556298774,-0.00377358490566038,-0.00571428571428571,0
11_q22.2,-0.0048832271762208,-0.00377358490566038,-0.00285714285714286,0
11_q22.3,-0.0162385385315321,-0.00188679245283019,0,0
11_q23.1,-0.0037385765715868,0,0,0
11_q23.2,-0.0040673211781206,0,0,0
11_q23.3,-0.0151547798606622,0,0,0
11_q24.1,-0.0274725274725275,0,0,0
11_q24.2,-0.0272275495205431,0,0,0
11_q24.3,-0.027972027972028,-0.00756143667296786,-0.00573065902578797,0
11_q25,-0.0172514619883041,-0.00189035916824197,-0.00286532951289398,0
12_p11.1,-0.0806337027564649,-0.00383877159309021,-0.00581395348837209,0
12_p11.21,-0.0907679277244491,-0.0207547169811321,-0.0114613180515759,-0.0588235294117647
12_p11.22,-0.077063064324211,-0.0190114068441065,-0.0115273775216138,-0.0588235294117647
12_p11.23,-0.0749099972306842,-0.0244821092278719,-0.0171428571428571,-0.0588235294117647
12_p12.1,-0.12399612295763,-0.0038841807909604,0.0161904761904762,-0.0588235294117647
12_p12.2,-0.097921187093162,-0.0015910124034028,0.0219047619047619,-0.0588235294117647
12_p12.3,-0.0759431651151401,0.0017400270670877,0.0247126436781609,-0.0447761194029851
12_p13.1,-0.0812794239822762,0.0037664783427495,0.0276190476190476,-0.0588235294117647
12_p13.2,-0.0896213183730712,-0.0057351574765307,0.0219047619047619,-0.0757575757575758
12_p13.31,-0.107843137254902,-0.0058645356705549,0.027552986512524,-0.0735294117647059
12_p13.32,-0.0927442123094299,-0.0076720595788392,0.0247126436781609,-0.0882352941176471
12_p13.33,-0.0775694893341951,0.0263191557403262,0.0161904761904762,0.0375816993464051
12_q11,-0.0806337027564649,-0.00384615384615385,-0.00581395348837209,0
12_q12,-0.0531135531135531,0,0,0
12_q13.11,-0.0348529306519716,-0.00189035916824197,-0.0028735632183908,0
12_q13.12,-0.0355857103295486,-0.00377358490566038,-0.00286532951289398,0
12_q13.13,-0.0478345184227537,-0.00380228136882129,-0.00289017341040462,0
12_q13.2,-0.0605590062111801,-0.00188323917137476,0,0
12_q13.3,-0.0734265734265734,-0.00188323917137476,0,0
12_q14.1,-0.0670525127046866,0.0153545868575146,0,0
12_q14.2,-0.0719329825533093,0.00941619585687384,-0.00857142857142857,0
12_q14.3,-0.0783024093049017,-6.40799718048014e-05,-0.0200573065902579,-0.0147058823529412
12_q15,-0.0808249721293204,-0.0054429307085588,-0.0257879656160458,-0.0147058823529412
12_q21.1,-0.0555555555555556,0.00957854406130265,-0.0115273775216138,0
12_q21.2,-0.04041248606466,0.0263368684117779,0.0247373447946513,0
12_q21.31,-0.0337164220437552,0.00778958346913497,0.0230214405691138,0
12_q21.32,-0.0407433380084152,0.0115916617962205,0.0259113300492611,0
12_q21.33,-0.0407433380084152,0.011278075037647,0.0276026743075453,0
12_q22,-0.0337164220437552,0.00940198273105214,0.0247619047619047,0
12_q23.1,-0.0400858487953476,0.0150587933741309,0.0333333333333333,0
12_q23.2,-0.0292162835779563,0.0150659133709981,0.0333333333333333,0
12_q23.3,-0.0231832683445586,0.0153402386259341,0.0333333333333333,0
12_q24.11,-0.0355857103295486,0.0169491525423729,0.0333333333333333,0
12_q24.12,-0.0355857103295486,0,0,0
12_q24.13,-0.0302089215132694,0,0,0
12_q24.21,-0.0363253856942497,0,0,0
12_q24.22,-0.0483245638327333,0,0,0
12_q24.23,-0.0417162455379016,0,0,0
12_q24.31,-0.0372325043377675,-0.00189393939393939,0,0
12_q24.32,-0.0303095597213244,-0.00188323917137476,-0.00285714285714286,0
12_q24.33,-0.0243795939160177,-0.00189753320683112,-0.00288184438040346,0
13_q12.11,-0.0324675324675325,-0.00189393939393939,-0.0028735632183908,0
13_q12.12,-0.0146081417889781,-0.00188679245283019,-0.00286532951289398,0
13_q12.13,-0.0254777070063694,0.0150623600895427,0.0304680038204393,0
13_q12.2,-0.0254777070063694,0.0150623600895427,0.0304761904761904,0
13_q12.3,-0.0191082802547771,0.0150587933741309,0.0304680038204393,0
13_q13.1,-0.0127388535031847,-0.00188679245283019,-0.00286532951289398,0
13_q13.2,-0.0128205128205128,-0.00188323917137476,-0.00285714285714286,0
