band,OV,BRCA,ER,TRI
10_p11.1,0.288492218877817,1,1,1
10_p11.21,0.302507299985981,1,1,1
10_p11.22,0.265598017803284,1,1,1
10_p11.23,0.377960256493079,1,1,1
10_p12.1,0.377960256493079,1,1,1
10_p12.2,0.450630106757857,1,1,1
10_p12.31,0.450630106757857,1,1,1
10_p12.32,0.561722071831238,1,1,1
10_p12.33,0.450630106757857,1,1,1
10_p13,0.450630106757857,1,1,1
10_p14,0.222124671381748,0.814518143516133,1,1
10_p15.1,0.167793700698893,0.814518143516133,1,1
10_p15.2,0.200897321629785,0.814518143516133,1,1
10_p15.3,0.222124671381748,0.77351203924876,1,1
10_q11.1,0.288492218877817,1,1,1
10_q11.21,0.450630106757857,1,1,1
10_q11.22,1,1,1,1
10_q11.23,0.377960256493079,1,1,1
10_q21.1,0.377960256493079,1,1,1
10_q21.2,0.288492218877817,1,1,1
10_q21.3,0.450630106757857,1,1,1
10_q22.1,0.808954954141033,1,1,1
10_q22.2,1,1,1,1
10_q22.3,1,1,1,1
10_q23.1,0.765692114407405,1,1,1
10_q23.2,1,0.814518143516133,1,1
10_q23.31,1,1,1,1
10_q23.32,0.765692114407405,1,1,1
10_q23.33,0.584623979550167,1,1,1
10_q24.1,0.584623979550167,1,1,1
10_q24.2,0.584623979550167,0.814518143516133,1,1
10_q24.31,0.765692114407405,1,1,1
10_q24.32,0.450630106757857,0.814518143516133,1,1
10_q24.33,0.450630106757857,0.96898478929468,1,1
10_q25.1,0.765692114407405,1,1,1
10_q25.2,1,1,1,1
10_q25.3,1,1,1,1
10_q26.11,1,1,1,1
10_q26.12,0.808954954141033,1,1,1
10_q26.13,1,1,1,1
10_q26.2,1,1,1,1
10_q26.3,1,1,1,1
11_p11.11,0.377960256493079,0.875612201023829,1,1
11_p11.12,0.377960256493079,1,1,1
11_p11.2,0.377960256493079,1,1,1
11_p12,0.450630106757857,1,1,1
11_p13,0.377960256493079,1,1,1
11_p14.1,0.288492218877817,1,1,1
11_p14.2,0.377960256493079,1,1,1
11_p14.3,0.377960256493079,1,1,1
11_p15.1,0.450630106757857,1,1,1
11_p15.2,0.450630106757857,1,1,1
11_p15.3,0.676623396500546,1,1,1
11_p15.4,0.450630106757857,1,1,1
11_p15.5,0.765692114407405,1,1,1
11_q11,0.377960256493079,0.875612201023829,1,1
11_q12.1,0.450630106757857,1,1,1
11_q12.2,0.584623979550167,1,1,1
11_q12.3,0.377960256493079,1,1,1
11_q13.1,0.489637057946806,1,1,1
11_q13.2,0.450630106757857,0.814518143516133,1,1
11_q13.3,0.450630106757857,0.414587943347866,1,1
11_q13.4,0.664796139691482,1,1,1
11_q13.5,0.702191478476082,1,1,1
11_q14.1,1,1,1,1
11_q14.2,0.899842965342687,1,1,1
11_q14.3,1,1,1,1
11_q21,0.666351486193323,1,1,1
11_q22.1,0.846986669858414,1,1,1
11_q22.2,1,1,1,1
11_q22.3,0.808954954141033,1,1,1
11_q23.1,1,1,1,1
11_q23.2,1,1,1,1
11_q23.3,0.765692114407405,1,1,1
11_q24.1,0.450630106757857,1,1,1
11_q24.2,0.593386385279239,1,1,1
11_q24.3,0.450630106757857,1,1,1
11_q25,0.808954954141033,1,1,1
12_p11.1,0.200897321629785,1,1,1
12_p11.21,0.200897321629785,1,1,1
12_p11.22,0.288492218877817,1,1,1
12_p11.23,0.302507299985981,1,1,1
12_p12.1,0.167793700698893,1,1,1
12_p12.2,0.200897321629785,1,1,1
12_p12.3,0.342040753014767,1,1,1
12_p13.1,0.285752678161916,1,1,1
12_p13.2,0.2454747368111,1,1,1
12_p13.31,0.200897321629785,1,1,1
12_p13.32,0.249468135100229,1,1,1
12_p13.33,0.377960256493079,1,1,1
12_q11,0.200897321629785,1,1,1
12_q12,0.265598017803284,1,1,1
12_q13.11,0.494414845456209,1,1,1
12_q13.12,0.450630106757857,1,1,1
12_q13.13,0.302507299985981,1,1,1
12_q13.2,0.222124671381748,1,1,1
12_q13.3,0.200897321629785,1,1,1
12_q14.1,0.222124671381748,0.96898478929468,1,1
12_q14.2,0.200897321629785,1,1,1
12_q14.3,0.200897321629785,1,1,1
12_q15,0.200897321629785,1,1,1
12_q21.1,0.265598017803284,1,1,1
12_q21.2,0.377960256493079,0.867714221416633,1,1
12_q21.31,0.450630106757857,1,1,1
12_q21.32,0.377960256493079,1,1,1
12_q21.33,0.377960256493079,1,1,1
12_q22,0.450630106757857,1,1,1
12_q23.1,0.377960256493079,0.96898478929468,1,1
12_q23.2,0.489637057946806,0.96898478929468,1,1
12_q23.3,0.655354925357714,0.96898478929468,1,1
12_q24.11,0.450630106757857,0.814518143516133,1,1
12_q24.12,0.450630106757857,1,1,1
12_q24.13,0.489637057946806,1,1,1
12_q24.21,0.450630106757857,1,1,1
12_q24.22,0.377960256493079,1,1,1
12_q24.23,0.450630106757857,1,1,1
12_q24.31,0.450630106757857,1,1,1
12_q24.32,0.489637057946806,1,1,1
12_q24.33,0.655354925357714,1,1,1
13_q12.11,0.377960256493079,1,1,1
13_q12.12,0.765692114407405,1,1,1
13_q12.13,0.450630106757857,0.96898478929468,1,1
13_q12.2,0.450630106757857,0.96898478929468,1,1
13_q12.3,0.450630106757857,0.96898478929468,1,1
13_q13.1,0.655354925357714,1,1,1
13_q13.2,0.655354925357714,1,1,1
13_q13.3,1,1,1,1
13_q14.11,1,1,1,1
13_q14.12,1,1,1,1
13_q14.13,1,1,1,1
13_q14.2,1,1,1,1
13_q14.3,1,1,1,1
13_q21.1,1,0.96898478929468,1,1
13_q21.2,1,0.96898478929468,1,1
13_q21.31,1,0.96898478929468,1,1
13_q21.32,1,0.696718737724965,1,1
13_q21.33,1,0.696718737724965,1,1
13_q22.1,1,0.814518143516133,1,1
13_q22.2,0.655354925357714,0.814518143516133,1,1
13_q22.3,0.655354925357714,0.814518143516133,1,1
13_q31.1,0.655354925357714,0.814518143516133,1,1
13_q31.2,0.655354925357714,0.696718737724965,1,1
13_q31.3,0.655354925357714,0.5564413670121,1,1
13_q32.1,0.655354925357714,0.414587943347866,1,1
13_q32.2,0.655354925357714,0.414587943347866,1,1
13_q32.3,0.655354925357714,0.5564413670121,1,1
13_q33.1,0.655354925357714,0.414587943347866,1,1
13_q33.2,0.655354925357714,0.414587943347866,1,1
13_q33.3,0.655354925357714,0.327213281010219,1,1
13_q34,0.450630106757857,0.696718737724965,1,1
14_q11.2,0.377960256493079,1,1,1
14_q12,0.288492218877817,1,1,1
14_q13.1,0.288492218877817,1,1,1
14_q13.2,0.288492218877817,1,1,1
14_q13.3,0.288492218877817,1,1,1
14_q21.1,0.288492218877817,1,1,1
14_q21.2,0.2454747368111,1,1,1
14_q21.3,0.2454747368111,1,1,1
14_q22.1,0.288492218877817,1,1,1
14_q22.2,0.288492218877817,1,1,1
14_q22.3,0.377960256493079,1,1,1
14_q23.1,0.288492218877817,1,1,1
14_q23.2,0.377960256493079,1,1,1
14_q23.3,0.377960256493079,0.96898478929468,1,1
14_q24.1,0.288492218877817,1,1,1
14_q24.2,0.288492218877817,1,1,1
14_q24.3,0.2454747368111,1,1,1
14_q31.1,0.450630106757857,1,1,1
14_q31.2,0.377960256493079,1,1,1
14_q31.3,0.377960256493079,1,1,1
14_q32.11,0.450630106757857,1,1,1
14_q32.12,0.450630106757857,1,1,1
14_q32.13,0.450630106757857,1,1,1
14_q32.2,0.450630106757857,1,1,1
14_q32.31,0.450630106757857,1,1,1
14_q32.32,0.655354925357714,1,1,1
14_q32.33,0.655354925357714,1,1,1
15_q11.2,0.450630106757857,1,1,1
15_q12,0.450630106757857,1,1,1
15_q13.1,0.450630106757857,1,1,1
15_q13.2,0.450630106757857,1,1,1
15_q13.3,0.450630106757857,1,1,1
15_q14,0.450630106757857,1,1,1
15_q15.1,0.450630106757857,1,1,1
15_q15.2,0.450630106757857,1,1,1
15_q15.3,0.450630106757857,1,1,1
15_q21.1,0.450630106757857,1,1,1
15_q21.2,0.450630106757857,1,1,1
15_q21.3,0.450630106757857,1,1,1
15_q22.1,0.450630106757857,1,1,1
15_q22.2,0.450630106757857,1,1,1
15_q22.31,0.450630106757857,1,1,1
15_q22.32,0.377960256493079,1,1,1
15_q22.33,0.377960256493079,1,1,1
15_q23,0.450630106757857,1,1,1
15_q24.1,0.450630106757857,1,1,1
15_q24.2,0.450630106757857,1,1,1
15_q24.3,0.450630106757857,1,1,1
15_q25.1,0.450630106757857,1,1,1
15_q25.2,0.450630106757857,1,1,1
15_q25.3,0.765692114407405,1,1,1
15_q26.1,0.584623979550167,1,1,1
15_q26.2,0.450630106757857,0.814518143516133,1,1
15_q26.3,0.843833405382711,0.414587943347866,1,1
16_p11.1,0.377960256493079,1,1,1
16_p11.2,0.288492218877817,1,1,1
16_p12.1,0.288492218877817,1,1,1
16_p12.2,0.377960256493079,1,1,1
16_p12.3,0.377960256493079,1,1,1
16_p13.11,0.584623979550167,1,1,1
16_p13.12,0.450630106757857,1,1,1
16_p13.13,0.584623979550167,1,1,1
16_p13.2,0.200897321629785,1,1,1
16_p13.3,0.288492218877817,1,1,1
16_q11.1,0.377960256493079,1,1,1
16_q11.2,0.377960256493079,1,1,1
16_q12.1,0.377960256493079,1,1,1
16_q12.2,0.450630106757857,1,1,1
16_q13,0.377960256493079,1,1,1
16_q21,0.450630106757857,1,1,1
16_q22.1,0.450630106757857,1,1,1
16_q22.2,0.450630106757857,1,1,1
16_q22.3,0.450630106757857,1,1,1
16_q23.1,0.450630106757857,1,1,1
16_q23.2,0.450630106757857,1,1,1
16_q23.3,0.450630106757857,1,1,1
16_q24.1,0.655354925357714,1,1,1
16_q24.2,0.450630106757857,0.96898478929468,1,1
16_q24.3,1,0.96898478929468,1,1
17_p11.1,0.450630106757857,1,1,1
17_p11.2,0.655354925357714,1,1,1
17_p12,0.450630106757857,1,1,1
17_p13.1,0.655354925357714,1,1,1
17_p13.2,0.655354925357714,1,1,1
17_p13.3,0.450630106757857,1,1,1
17_q11.1,0.450630106757857,1,1,1
17_q11.2,0.450630106757857,1,1,1
17_q12,1,1,1,1
17_q21.1,0.450630106757857,1,1,1
17_q21.2,0.655354925357714,1,1,1
17_q21.31,0.655354925357714,1,1,1
17_q21.32,1,1,1,1
17_q21.33,1,1,1,1
17_q22,1,1,1,1
17_q23.1,0.584623979550167,1,1,1
17_q23.2,0.584623979550167,1,1,1
17_q23.3,1,1,1,1
17_q24.1,0.775620415881534,1,1,1
17_q24.2,0.775620415881534,1,1,1
17_q24.3,0.775620415881534,1,1,1
17_q25.1,0.655308830098601,1,1,1
17_q25.2,0.655308830098601,0.96898478929468,1,1
17_q25.3,1,1,1,1
18_p11.1,0.765692114407405,1,1,1
18_p11.21,0.584623979550167,1,1,1
18_p11.22,0.584623979550167,1,1,1
18_p11.23,0.450630106757857,1,1,1
18_p11.31,0.584623979550167,1,1,1
18_p11.32,0.450630106757857,1,1,1
18_q11.1,0.765692114407405,1,1,1
18_q11.2,0.222124671381748,1,1,1
18_q12.1,0.200897321629785,0.96898478929468,1,1
18_q12.2,0.288492218877817,1,1,1
18_q12.3,0.288492218877817,0.96898478929468,1,1
18_q21.1,0.450630106757857,0.96898478929468,1,1
