band,OV,BRCA,ER,TRI
10_p11.1,-0.0087171179510913,-0.0474579068999673,-0.0604178430265388,-0.026819923371648
10_p11.21,-0.0058528428093646,0.0155304027375625,0.0176753121998079,0.0267379679144381
10_p11.22,0.0220897615708275,0.0150659133709981,0.0180952380952381,0.0228758169934639
10_p11.23,0.0394109396914446,0.0131826741996233,0.0152380952380953,0.0228758169934639
10_p12.1,0.0528452337803552,0.0282485875706215,0.0123809523809524,0.0228758169934639
10_p12.2,0.0442398227637773,0.0300287815797889,0.015090735434575,0.0228758169934639
10_p12.31,0.0832179451675436,0.0141451013623623,0.0149425287356322,-0.0294117647058824
10_p12.32,0.0768485184159512,0.013079629037416,0.017956064947469,-0.0326797385620915
10_p12.33,0.0723483799501523,0.0131826741996233,0.0180952380952381,-0.0326797385620915
10_p13,0.0720196353436185,-0.0183474300585556,-0.0123809523809524,-0.0326797385620915
10_p14,0.0534465534465534,-0.0297894530995371,-0.0573065902578797,0.014705882352941
10_p15.1,0.0513708114095818,-0.0358810361368724,-0.0485714285714286,-0.0179738562091503
10_p15.2,0.0445930880713489,0,-0.0266666666666667,0.008169934640523
10_p15.3,0.0495015231237881,-0.0380713918849512,-0.0634005763688761,-0.0473856209150324
10_q11.1,-0.0087171179510913,-0.0617325546570834,-0.074427931115829,-0.052823315118397
10_q11.21,0.0052463665366892,-0.0455172413793103,-0.0533718689788054,-0.0456540825285343
10_q11.22,0.0109695682944091,-0.054096341422817,-0.057471264367816,-0.0936981757877284
10_q11.23,0.0272243885147111,-0.0336648563763659,-0.0519725727914141,-0.0936981757877284
10_q21.1,0.033370257546386,-0.00048151001540829,0.0111747851002865,-0.0915032679738564
10_q21.2,0.0222965440356744,0.00535067764570181,0.0195402298850575,-0.0915032679738564
10_q21.3,0.0225006923289947,0.0444991789819378,0.0581888246628128,-0.029411764705883
10_q22.1,0.04,0.0623166677530804,0.0617000955109834,-0.035947712418301
10_q22.2,0.0181495923431408,0.0602636534839924,0.0647619047619044,-0.050653594771242
10_q22.3,0.0401276143211627,0.059361997226075,0.0562983814215345,-0.038602941176471
10_q23.1,0.0881720430107524,0.111839517503606,0.149425287356322,-0.015151515151515
10_q23.2,0.115848527349229,0.107163415414135,0.141642788920726,-0.024509803921568
10_q23.31,0.148829431438127,0.114678605692356,0.133333333333333,0.031045751633987
10_q23.32,0.149196898366104,0.067412130338663,0.141379310344827,-0.135620915032679
10_q23.33,0.170936028800886,0.067796610169492,0.141904761904762,-0.080065359477124
10_q24.1,0.170196353436185,0.065913370998117,0.105714285714286,-0.080065359477124
10_q24.2,0.170568561872909,0.065717940518069,0.105714285714286,-0.135620915032679
10_q24.31,0.186183243508085,0.068364026701553,0.104347826086957,-0.147058823529411
10_q24.32,0.165443252399774,0.064030131826742,0.102857142857143,-0.15032679738562
10_q24.33,0.176647966339411,0.077006715701951,0.13018147086915,-0.165032679738562
10_q25.1,0.14010989010989,0.06201704639671,0.163514804202484,-0.220588235294118
10_q25.2,0.0865384615384615,0.057691039757368,0.128985507246376,-0.220588235294118
10_q25.3,0.112088064248131,0.056497175141243,0.127619047619047,-0.205882352941176
10_q26.11,0.0903489338133481,0.061944355612408,0.136190476190476,-0.208955223880597
10_q26.12,0.0979853479853481,0.066634382566586,0.14373795761079,-0.223880597014925
10_q26.13,0.0659498207885304,0.064048774092041,0.138505747126436,-0.223880597014925
10_q26.2,0.0647288195675294,0.07869020537631,0.144252873563218,-0.194444444444444
10_q26.3,0.0912442396313365,0.107743563203519,0.171565802113353,-0.161616161616162
11_p11.11,0.00511921458625519,-0.0560684224816725,-0.0794263105835807,-0.0161290322580645
11_p11.12,0.0200854700854701,-0.0293052141286065,-0.0173913043478261,0.0257048092868989
11_p11.2,0.0298475717830556,-0.0346731234866828,-0.0331406551059731,0.0107794361525705
11_p12,0.0296316809747992,-0.0417160616449328,-0.0382999044890163,0.0107794361525705
11_p13,0.0241389045736871,-0.0286016949152542,-0.0266666666666667,0.0107794361525705
11_p14.1,0.0251315425090002,-0.0360449841402069,-0.0352380952380953,0.0101010101010101
11_p14.2,0.0495015231237881,-0.0056497175141243,-0.0047619047619047,0.0522875816993463
11_p14.3,0.0710436060754534,-0.00810471810375331,-0.0053794428434198,0.0364842454394692
11_p15.1,0.126482213438735,0.0294515692466324,0.0310344827586207,0.0522875816993463
11_p15.2,0.132719468291332,0.0659133709981168,0.0504761904761901,0.0784313725490199
11_p15.3,0.155201159840522,0.114542949601103,0.147373447946514,0.062189054726368
11_p15.4,0.250054581180409,0.140329960688277,0.207514450867052,0.04726368159204
11_p15.5,0.236327107671701,0.196098130083936,0.295953757225434,0.049019607843138
11_q11,0.00511921458625519,-0.0560684224816725,-0.0794263105835807,-0.0161290322580645
11_q12.1,0.00715287517531549,-0.0562271121625563,-0.038728323699422,-0.0151515151515152
11_q12.2,0.028514963297572,-0.0495313302516693,-0.023919308357349,-0.0294117647058824
11_q12.3,0.0098039215686275,-0.0549425287356325,-0.027365677626303,-0.0147058823529412
11_q13.1,0.0269730269730269,-0.0524030203843533,-0.028279883381924,-0.0147058823529412
11_q13.2,-0.0056078648573802,-0.0352752188309346,-0.0345132743362832,0
11_q13.3,-0.0164774300747715,-0.0216608860676657,-0.0047898338220919,-0.0447761194029851
11_q13.4,-0.0351830663615561,-0.0328101299215194,-0.0312561819980217,0.0257048092868989
11_q13.5,-0.0337164220437552,-0.0410788923719958,-0.0463082579747587,-0.0147058823529412
11_q14.1,-0.0084697910784868,0.104124408384044,0.238197865353038,-0.0153846153846154
11_q14.2,0.0094760312151616,0.117939188106757,0.28691499522445,-0.0294117647058824
11_q14.3,-0.0027472527472527,0.103513708041615,0.286594454933917,-0.0298507462686567
11_q21,0.0241389045736871,0.083710699961185,0.252173913043478,-0.0606060606060606
11_q22.1,0.00752508361204009,0.078053624627607,0.257438423645321,-0.0882352941176471
11_q22.2,0.03793347487615,0.06920370962584,0.221904761904762,-0.0895522388059701
11_q22.3,0.0525652691257788,0.057882954908859,0.212416427889207,-0.0882352941176471
11_q23.1,0.0712406535585711,0.049306625577812,0.208620689655172,-0.0882352941176471
11_q23.2,0.0703366058906031,0.084234090182284,0.245749761222541,-0.0326797385620915
11_q23.3,0.066508654743949,0.09980443285528,0.243051506316813,0.0215588723051409
11_q24.1,0.0393772893772895,0.080003844798309,0.195402298850575,0.008169934640523
11_q24.2,0.028837404633583,0.063829091147026,0.159195402298851,-0.014705882352942
11_q24.3,0.0384615384615386,0.06683541059242,0.135339063992359,0.034313725490196
11_q25,0.0321637426900584,0.099309041131608,0.135339063992359,0.071115013169447
12_p11.1,0.0347399829497016,-0.0013806108361114,-0.0203488372093023,-0.0202020202020202
12_p11.21,0.0196216826651609,-6.39590661976053e-05,-0.0257879656160458,-0.0441176470588235
12_p11.22,0.0138587527122559,0.0090223625700845,-0.00413064361191171,-0.0441176470588235
12_p11.23,0.0135004153973968,-0.00188323917137469,-0.0152380952380953,-0.0588235294117647
12_p12.1,0.0416089725837718,0.0071905495634309,0.0066666666666667,-0.0441176470588235
12_p12.2,0.0531952124308812,0.024060003896357,0.0066666666666667,0.0147058823529412
12_p12.3,0.0468257856792888,0.0201069794419024,0.003448275862069,-0.0041459369817578
12_p13.1,0.0787178067017446,0.0338983050847455,0.0371428571428571,-0.0032679738562091
12_p13.2,0.0784712482468443,0.0336419851975262,0.0342857142857143,-0.005050505050505
12_p13.31,0.0803921568627451,0.0258104014951344,0.0421965317919075,0.0114379084967321
12_p13.32,0.100084697910785,0.0279275808936826,0.0787356321839077,-0.0441176470588235
12_p13.33,0.0837463190404368,0.0281419891269587,0.0704761904761901,-0.0294117647058824
12_q11,0.0347399829497016,0.000472334682860995,-0.0203488372093023,-0.0202020202020202
12_q12,0.0357142857142858,0.0111499150940374,-0.0229226361031519,-0.0489220563847434
12_q13.11,0.053173978386889,0.0412675018422992,-0.0201149425287356,0.019607843137255
12_q13.12,0.0442398227637773,0.0413495362967701,-0.0200573065902579,0.019607843137255
12_q13.13,0.0377073906485671,0.0240703744280466,-0.0202312138728324,-0.050653594771242
12_q13.2,0.0262563523433088,0.0282485875706214,-0.0142857142857143,-0.050653594771242
12_q13.3,0.0334665334665334,0.0301318267419962,0.019047619047619,-0.050653594771242
12_q14.1,0.0327498588368153,0.0368900455432661,0.0218720152817574,-0.014705882352942
12_q14.2,0.0270008307947937,0.0207156308851225,-0.0114285714285714,-0.006535947712418
12_q14.3,0.033370257546386,0.0036525583928743,-0.0114613180515759,-0.0620915032679734
12_q15,0.044035674470457,0.0042370119288182,-0.0114613180515759,-0.0620915032679734
12_q21.1,0.0177777777777778,0.0191570881226054,-0.0144092219020173,-0.0638474295190714
12_q21.2,0.0707915273132665,0.0111499150940374,-0.0200573065902579,-0.0620915032679734
12_q21.31,0.0757407920243697,0.0254872563718141,0.0086947930046439,-0.0767973856209154
12_q21.32,0.0683029453015425,0.0353594389246055,0.0375369458128079,-0.0767973856209154
12_q21.33,0.0683029453015425,0.0318157060010893,0.0322827125119389,-0.0767973856209154
12_q22,0.0802409304901694,0.0356891589382795,0.0323809523809524,-0.0620915032679734
12_q23.1,0.063001938521185,0.0318157060010893,0.0264367816091954,-0.0620915032679734
12_q23.2,0.0693713652727774,0.0433145009416193,0.06,-0.0767973856209154
12_q23.3,0.0745125841900037,0.0253703946505835,0.0233140655105973,-0.0915032679738564
12_q24.11,0.0585018000553864,0.0204735509916376,0.017956064947469,-0.0767973856209154
12_q24.12,0.0585018000553864,0.0357815442561202,0.0485714285714286,-0.0767973856209154
12_q24.13,0.0395256916996051,0.0357815442561202,0.0485714285714286,-0.0767973856209154
12_q24.21,0.0465638148667605,0.0272674343382065,0.0394812680115274,-0.108623548922056
12_q24.22,0.0540016615895877,0.0150659133709981,0.00952380952380959,-0.0767973856209154
12_q24.23,0.0554350108490237,0.0158646912285303,0.00614793467819409,-0.0735294117647063
12_q24.31,0.0858877964141124,0.0316191576784794,0.0396551724137931,-0.0767973856209154
12_q24.32,0.106298929828342,0.0320150659133708,0.0257142857142857,-0.035947712418301
12_q24.33,0.122698493559421,0.0804361110217734,0.106147934678194,-0.02124183006536
13_q12.11,0.217955957086392,-0.003722570532916,0.083333333333333,-0.050653594771242
13_q12.12,0.179590141235115,-0.000319795330987999,0.083285577841452,-0.050653594771242
13_q12.13,0.179590141235115,0.041125679565079,0.130945558739255,-0.065359477124183
13_q12.2,0.168720576017724,0.061848417013111,0.137142857142857,-0.065359477124183
13_q12.3,0.168720576017724,0.089776040498542,0.197612225405922,-0.065359477124183
13_q13.1,0.173220714483522,0.265011585567693,0.468925995454994,0.073529411764706
13_q13.2,0.17670011148272,0.267419962335217,0.460952380952381,0.060457516339869
13_q13.3,0.184188034188034,0.274262279324597,0.468390804597701,0.060457516339869
13_q14.11,0.173982276377735,0.288418998048146,0.48621677699832,0.071895424836602
13_q14.12,0.204795204795205,0.269660367556334,0.460952380952381,0.029411764705883
13_q14.13,0.195371669004207,0.263653483992467,0.463809523809524,0.016339869281046
13_q14.2,0.18562091503268,0.226489028213166,0.421298949379178,-0.047410008779631
13_q14.3,0.168684818366347,0.193161893629456,0.377635467980295,0.016339869281046
13_q21.1,0.164981999446136,0.168722565762071,0.356896551724138,-0.039215686274509
13_q21.2,0.154112434228745,0.145009416195857,0.302857142857143,-0.039215686274509
13_q21.31,0.163879598662207,0.145066701037572,0.300578034682081,-0.027363184079602
13_q21.32,0.162762973352033,0.111902927580894,0.267819404418828,-0.024509803921568
13_q21.33,0.154112434228745,0.066530294174946,0.202857142857143,-0.073529411764706
13_q22.1,0.17505424511794,0.048964218455744,0.175238095238096,-0.080065359477124
13_q22.2,0.149612295762947,0.065913370998117,0.175238095238096,-0.080065359477124
13_q22.3,0.154960981047938,0.067444835305404,0.17468958930277,-0.080065359477124
13_q31.1,0.151893408134642,0.057318589282209,0.152298850574713,-0.080065359477124
13_q31.2,0.117216117216117,0.029202789909393,0.110888252148997,-0.105355575065847
13_q31.3,0.120401337792642,0.0295380611581,0.121773399014778,-0.0936981757877284
13_q32.1,0.117892976588629,-0.00376647834274901,0.05047619047619,-0.0915032679738564
13_q32.2,0.112503461644974,-0.016949152542373,0.056190476190476,-0.0915032679738564
13_q32.3,0.112503461644974,-0.013495362967701,0.059047619047619,-0.0915032679738564
13_q33.1,0.101633896427582,-0.019480311428663,0.049952244508118,-0.0936981757877284
13_q33.2,0.123373026862365,-0.007866965142309,0.083285577841452,-0.120915032679738
13_q33.3,0.111482720178373,-0.004421518054532,0.085632183908046,-0.106209150326797
13_q34,0.11343495214463,0.018552510816835,0.125906787240386,-0.0915032679738564
14_q11.2,0.0640423031727379,-0.0240085884381404,-0.0524781341107872,-0.126262626262626
14_q12,0.0855323020928118,-0.0097081157284291,-0.0544412607449857,-0.065359477124183
14_q13.1,0.0948490722791468,-0.0078177565601871,-0.0573065902578797,-0.065359477124183
14_q13.2,0.0884796455275544,-0.0056497175141243,-0.0571428571428571,-0.065359477124183
14_q13.3,0.0948490722791468,-0.00753295668549911,-0.06,-0.065359477124183
14_q21.1,0.0677655677655679,0.010016420361248,-0.0289178177481864,-0.040404040404041
14_q21.2,0.0667405150927724,0.00870013533543851,-0.0329490874159462,-0.023217247097844
14_q21.3,0.0667405150927724,0.0104600484261501,-0.0329490874159462,-0.02124183006536
14_q22.1,0.0941093969144457,0.0430297010669314,0.0283667621776504,-0.02124183006536
14_q22.2,0.110218775962337,0.0375119923249119,0.0226361031518625,-0.02124183006536
14_q22.3,0.114718914428136,0.0619763351455069,0.0502387774594075,0.00490196078431399
14_q23.1,0.101980060924951,0.0751519027822196,0.0780952380952384,0.00490196078431399
14_q23.2,0.149958460260316,0.096045197740113,0.133333333333333,0.00490196078431399
14_q23.3,0.121849903073941,0.116760828625235,0.182857142857143,-0.009803921568627
14_q24.1,0.132719468291332,0.197270193201115,0.243809523809524,0.043117744610282
14_q24.2,0.144927536231884,0.197505596418293,0.243809523809524,0.043117744610282
14_q24.3,0.108630223279905,0.195379834032873,0.240592168099332,0.045751633986928
14_q31.1,0.125588479645527,0.193732011512632,0.24632282712512,0.045751633986928
14_q31.2,0.125194621372965,0.191352080123267,0.243103448275862,0.043117744610282
14_q31.3,0.120680044593088,0.175560936238902,0.209055876685934,0.055555555555555
14_q32.11,0.0957816377171217,0.233058857454103,0.187931034482759,0.101307189542484
14_q32.12,0.0828627893845286,0.233521657250471,0.188571428571429,0.101307189542484
14_q32.13,0.0832398316970547,0.242976337917997,0.191117478510029,0.115013169446884
14_q32.2,0.0851648351648353,0.198931236136318,0.126086956521739,0.132352941176471
14_q32.31,0.0431320963721957,0.174928046050528,0.133333333333333,0.116013071895425
14_q32.32,0.0481366459627326,0.154205308602494,0.13047619047619,0.043117744610282
14_q32.33,0.0692495424039045,0.155579504261781,0.133038348082596,0.031045751633987
15_q11.2,0.013656633221851,0.112791813239526,0.0721107927411656,0.127450980392157
15_q12,0.024526198439242,0.160075329566855,0.139047619047619,0.112745098039215
15_q13.1,0.025546939905843,0.148772204806687,0.112068965517242,0.112745098039215
15_q13.2,0.019177513154251,0.16195856873823,0.141904761904762,0.112745098039215
15_q13.3,0.019177513154251,0.146486815545801,0.110919540229885,0.112745098039215
15_q14,0.025827675509204,0.144803325871442,0.111174785100287,0.112745098039215
15_q15.1,0.027034559643255,0.150659133709981,0.117142857142857,0.042483660130719
15_q15.2,0.050724637681159,0.167608286252354,0.186666666666667,-0.013071895424837
15_q15.3,0.047286070340626,0.177024482109228,0.186666666666667,0.00163398692810399
15_q21.1,0.03405017921147,0.145959463016584,0.160687667693531,-0.001658374792703
15_q21.2,0.019230769230769,0.0921010553245926,0.0504761904761901,0.016339869281046
15_q21.3,0.04046283309958,0.112994350282486,0.0895238095238099,0.031045751633987
15_q22.1,0.046524508446414,0.0828625235404898,0.0504761904761901,0.00490196078431399
15_q22.2,0.047907647907648,0.0546365914786963,0.0225234203707395,-0.044117647058824
15_q22.31,0.026346098473942,0.0182034541536677,0.0219653179190751,-0.161764705882353
15_q22.32,0.01391581279424,0.0203574975173785,0.0297789602947195,-0.147058823529412
15_q22.33,0.01391581279424,0.0183821132911805,0.0260843790139315,-0.147058823529412
15_q23,-0.020336605890603,0.0442165868805795,0.06416906820365,-0.121212121212121
15_q24.1,0.012272089761571,0.0468104194034153,0.0645654250238774,-0.117647058823529
15_q24.2,0.019509476031215,0.0638951071314358,0.0645654250238774,-0.0473856209150324
15_q24.3,0.032329988851728,0.0451977401129942,0.0619047619047616,-0.0473856209150324
15_q25.1,0.021460423634337,0.0298612668610423,0.0310344827586207,-0.0473856209150324
15_q25.2,0.014305750350631,0.02972521828454,0.0339080459770115,-0.0489220563847434
15_q25.3,0.033882783882784,0.0243364246881993,-0.0049665711556829,-0.0473856209150324
15_q26.1,0.011201701524282,0.015749601275917,0.0053366174055829,-0.0326797385620915
15_q26.2,0.022893772893773,-0.0098549049820237,-0.0382999044890163,-0.0353535353535353
15_q26.3,0.00412048877522,0.0243364246881993,-0.0049665711556829,0.0228758169934639
16_p11.1,-0.011411411411411,-0.087162295405245,-0.163265306122449,-0.017948717948718
16_p11.2,0.0254576659038901,0.0674712905429584,0.0216031280547409,0.0931372549019611
16_p12.1,0.0159887798036465,0.0750932530593548,-0.00578034682080925,0.174603174603174
16_p12.2,0.0372670807453416,0.0752400592898112,-0.0028735632183908,0.107843137254902
16_p12.3,0.0307735742518351,0.0538426438954436,-0.00862068965517241,0.117647058823529
16_p13.11,0.0549450549450551,0.0527306967984934,-0.00571428571428571,0.0931372549019611
