band,OV,BRCA,ER,TRI
10_p11.1,1,0.792930692435618,1,1
10_p11.21,1,0.876403924469622,1,1
10_p11.22,0.747882395107039,0.876403924469622,1,1
10_p11.23,0.426605362946291,0.881077962915515,1,1
10_p12.1,0.297556027904515,0.728091576099203,1,1
10_p12.2,0.352245415138839,0.727552207705292,1,1
10_p12.31,0.0688745205560238,0.881077962915515,1,1
10_p12.32,0.129422413538303,0.881077962915515,1,1
10_p12.33,0.108734740632664,0.881077962915515,1,1
10_p13,0.112721453959983,1,1,1
10_p14,0.314110160551947,0.881077962915515,0.806817963478829,1
10_p15.1,0.378007559595048,0.697345147202171,0.806817963478829,1
10_p15.2,0.507611557362605,1,1,1
10_p15.3,0.525878443720312,0.758508429170615,0.670578306943027,1
10_q11.1,1,0.584396572711834,0.795955477371113,1
10_q11.21,1,0.638240711650553,0.875172804887199,1
10_q11.22,0.935539609700387,0.544756290001368,0.875172804887199,1
10_q11.23,0.638934174955615,0.907013599484483,0.875172804887199,1
10_q21.1,0.613136584414781,1,1,1
10_q21.2,0.747882395107039,1,1,1
10_q21.3,0.747882395107039,0.644445040913269,0.707820887589482,1
10_q22.1,0.42759377181637,0.432160568846482,0.698059087978817,1
10_q22.2,0.732653291800397,0.432160568846482,0.690210204655095,1
10_q22.3,0.426605362946291,0.452721041186103,0.738658564102146,1
10_q23.1,0.126572991521873,0.162786304045591,0.222344956064361,1
10_q23.2,0.047799021247446,0.169679945701742,0.23251789888631,1
10_q23.31,0.0177642066797075,0.143202338697587,0.269002852210002,1
10_q23.32,0.0177642066797075,0.432160568846482,0.232973234907468,1
10_q23.33,0.00692939602342496,0.432160568846482,0.23251789888631,1
10_q24.1,0.00692939602342496,0.432160568846482,0.452034480140809,1
10_q24.2,0.00692939602342496,0.432160568846482,0.452034480140809,1
10_q24.31,0.00125294689786393,0.432160568846482,0.457265143484627,1
10_q24.32,0.00666538807672478,0.5229441796002,0.459730005830489,1
10_q24.33,0.00353528539120857,0.372654939016832,0.387887591511088,1
10_q25.1,0.0262069377441907,0.524900311395135,0.214335983051652,1
10_q25.2,0.10362366939996,0.538238938985266,0.391808312175779,1
10_q25.3,0.0492735890175831,0.539451081461685,0.393601482463065,1
10_q26.11,0.108734740632664,0.524504323940252,0.269002852210002,1
10_q26.12,0.0887623431784909,0.432160568846482,0.223632276506009,1
10_q26.13,0.243864659843519,0.522976737158797,0.246617236295431,1
10_q26.2,0.244166949630545,0.366552258667567,0.223089940843068,1
10_q26.3,0.108734740632664,0.2126431802852,0.165785064511119,1
11_p11.11,1,0.544756290001368,0.665579371852057,1
11_p11.12,0.823210906586097,0.906791160579005,1,1
11_p11.2,0.698848383963808,0.758508429170615,1,1
11_p12,0.698848383963808,0.763673961067091,1,1
11_p13,0.812146838564306,0.881077962915515,1,1
11_p14.1,0.690224359594589,0.758508429170615,1,1
11_p14.2,0.525878443720312,1,1,1
11_p14.3,0.289718141551051,1,1,1
11_p15.1,0.0602953279021407,0.771161707036392,0.875172804887199,1
11_p15.2,0.0481277640813616,0.39835086574239,0.760602052468962,1
11_p15.3,0.0322770579635148,0.113903161831152,0.216501177462885,1
11_p15.4,0.000970735392918156,0.050642851845015,0.066690539002281,1
11_p15.5,0.00353528539120857,0.00697613218332492,0.00620194700891141,1
11_q11,1,0.544756290001368,0.665579371852057,1
11_q12.1,0.955413614979016,0.584396572711834,1,1
11_q12.2,0.701442914584633,0.697345147202171,1,1
11_q12.3,0.935539609700387,0.584396572711834,1,1
11_q13.1,0.640307683021178,0.584396572711834,1,1
11_q13.2,1,0.697345147202171,1,1
11_q13.3,0.898047268803125,0.987456883799884,1,1
11_q13.4,0.558193467226043,0.907000640304447,1,1
11_q13.5,0.558193467226043,0.792930692435618,1,1
11_q14.1,1,0.257859705931041,0.120807256912943,1
11_q14.2,0.935539609700387,0.229499550127188,0.0623002441446648,1
11_q14.3,1,0.383779971206869,0.0644185290334617,1
11_q21,0.812146838564306,0.459130249376183,0.130365478669295,1
11_q22.1,0.955413614979016,0.529666380633213,0.130365478669295,1
11_q22.2,0.570505322477863,0.609575817999263,0.23251789888631,1
11_q22.3,0.373804199854441,0.706091985181676,0.242441957991791,1
11_q23.1,0.263834457003528,0.787370864365198,0.246617236295431,1
11_q23.2,0.265068040466592,0.50640120631242,0.164741530558789,1
11_q23.3,0.297556027904515,0.432160568846482,0.165785064511119,1
11_q24.1,0.619672455711792,0.548542514653627,0.287731709581257,1
11_q24.2,0.732653291800397,0.69817742529936,0.440252885172476,1
11_q24.3,0.621851070497869,0.614307137864208,0.512278701751215,1
11_q25,0.742250698957953,0.430450744283272,0.512278701751215,1
12_p11.1,0.389076365369502,1,1,1
12_p11.21,0.638934174955615,1,1,1
12_p11.22,0.879256558281328,1,1,1
12_p11.23,0.879256558281328,1,1,1
12_p12.1,0.297556027904515,1,1,1
12_p12.2,0.206993290117899,0.758508429170615,1,1
12_p12.3,0.265062092386508,0.890174551100222,1,1
12_p13.1,0.0749249284776043,0.638240711650553,0.847801186595268,1
12_p13.2,0.0749562189570514,0.638240711650553,0.857386943506201,1
12_p13.31,0.0749249284776043,0.746645799231562,0.825937814573634,1
12_p13.32,0.034649497807219,0.72815099732155,0.437011428445436,1
12_p13.33,0.0699922548076575,0.728091576099203,0.512278701751215,1
12_q11,0.389076365369502,1,1,1
12_q12,0.378007559595048,0.995694519430901,1,1
12_q13.11,0.297556027904515,0.52288023851084,1,1
12_q13.12,0.352245415138839,0.52288023851084,1,1
12_q13.13,0.521013340803731,0.692215080200942,1,1
12_q13.2,0.641021516418553,0.64354944635097,1,1
12_q13.3,0.613136584414781,0.627507958406262,0.806817963478829,1
12_q14.1,0.613136584414781,0.452721041186103,0.79932808462348,1
12_q14.2,0.638934174955615,0.766282444199104,1,1
12_q14.3,0.613136584414781,0.975034636053276,1,1
12_q15,0.354685159924639,0.974050871097072,1,1
12_q21.1,0.829048023075086,0.781471160068438,1,1
12_q21.2,0.265036054068496,0.995694519430901,1,1
12_q21.31,0.272826484437304,0.676024029461411,0.911565593492251,1
12_q21.32,0.360824524188886,0.560528588482582,0.690210204655095,1
12_q21.33,0.360824524188886,0.715977635094807,0.749581287386607,1
12_q22,0.230805899477701,0.558588042391087,0.749011878395007,1
12_q23.1,0.378007559595048,0.715977635094807,0.806817963478829,1
12_q23.2,0.293093170861647,0.584396572711834,0.512278701751215,1
12_q23.3,0.297556027904515,0.753231470214573,0.998562244848045,1
12_q24.11,0.444287200441771,0.890174551100222,1,1
